experiment_name	experiment_group	model_name	PCA	F1_cv	F1_holdout	F1_unkn
word embeddings	W2V	DecisionTreeClassifier	False	0.934	0.955	0.649
word embeddings	W2V	LGBMClassifier	False	0.97	0.985	0.935
word embeddings	W2V	MLPClassifier	False	0.98	0.987	0.881
lemma embeddings	W2V	LogisticRegression	False	1.0	1.0	0.556
lemma embeddings	W2V	DecisionTreeClassifier	False	1.0	1.0	0.314
lemma embeddings	W2V	LGBMClassifier	False	1.0	1.0	0.78
lemma embeddings	W2V	MLPClassifier	False	1.0	1.0	0.646
word and lemma embeddings 	W2V	LogisticRegression	False	0.953	0.985	0.486
word and lemma embeddings 	W2V	DecisionTreeClassifier	False	0.974	1.0	0.809
word and lemma embeddings 	W2V	LGBMClassifier	False	0.989	1.0	0.837
word and lemma embeddings 	W2V	MLPClassifier	False	0.992	0.973	0.565
word and lemma embeddings many	W2V	LogisticRegression	False	0.95	0.965	0.811
word and lemma embeddings many	W2V	DecisionTreeClassifier	False	0.998	1.0	0.842
word and lemma embeddings many	W2V	LGBMClassifier	False	0.999	1.0	0.779
word and lemma embeddings many	W2V	MLPClassifier	False	0.999	1.0	0.847
word embeddings many	W2V	LogisticRegression	False	0.956	0.964	0.777
word embeddings many	W2V	DecisionTreeClassifier	False	0.997	0.955	0.649
word embeddings many	W2V	LGBMClassifier	False	0.999	0.984	0.931
word embeddings many	W2V	MLPClassifier	False	0.999	0.991	0.934
word embeddings nsubj	W2V_ext	LogisticRegression	False	0.939	0.958	0.775
word embeddings nsubj	W2V_ext	DecisionTreeClassifier	False	0.933	0.955	0.793
word embeddings nsubj	W2V_ext	LGBMClassifier	False	0.97	0.985	0.923
word embeddings nsubj	W2V_ext	MLPClassifier	False	0.969	0.984	0.91
word embeddings obj	W2V_ext	LogisticRegression	False	0.942	0.958	0.751
word embeddings obj	W2V_ext	DecisionTreeClassifier	False	0.933	0.96	0.82
word embeddings obj	W2V_ext	LGBMClassifier	False	0.971	0.989	0.933
word embeddings obj	W2V_ext	MLPClassifier	False	0.974	0.976	0.939
word embeddings obl	W2V_ext	LogisticRegression	False	0.942	0.94	0.744
word embeddings obl	W2V_ext	DecisionTreeClassifier	False	0.933	0.958	0.822
word embeddings obl	W2V_ext	LGBMClassifier	False	0.971	0.989	0.935
word embeddings obl	W2V_ext	MLPClassifier	False	0.974	0.973	0.926
word embeddings advmod	W2V_ext	LogisticRegression	False	0.941	0.96	0.777
word embeddings advmod	W2V_ext	DecisionTreeClassifier	False	0.936	0.962	0.795
word embeddings advmod	W2V_ext	LGBMClassifier	False	0.971	0.991	0.929
word embeddings advmod	W2V_ext	MLPClassifier	False	0.975	0.984	0.909
word embeddings ctx	W2V_ext	LogisticRegression	False	0.93	0.947	0.741
word embeddings ctx	W2V_ext	DecisionTreeClassifier	False	0.914	0.944	0.641
word embeddings ctx	W2V_ext	LGBMClassifier	False	0.971	0.989	0.945
word embeddings ctx	W2V_ext	MLPClassifier	False	0.969	0.973	0.914
word embeddings ctx 3	W2V_ext_ctx	LogisticRegression	False	0.93	0.947	0.741
word embeddings ctx 3	W2V_ext_ctx	DecisionTreeClassifier	False	0.914	0.944	0.641
word embeddings ctx 3	W2V_ext_ctx	LGBMClassifier	False	0.971	0.989	0.945
word embeddings ctx 3	W2V_ext_ctx	MLPClassifier	False	0.969	0.973	0.914
word embeddings ctx 2	W2V_ext_ctx	LogisticRegression	False	0.931	0.951	0.744
word embeddings ctx 2	W2V_ext_ctx	DecisionTreeClassifier	False	0.918	0.94	0.643
word embeddings ctx 2	W2V_ext_ctx	LGBMClassifier	False	0.97	0.985	0.925
word embeddings ctx 2	W2V_ext_ctx	MLPClassifier	False	0.96	0.978	0.927
word embeddings ctx 1	W2V_ext_ctx	LogisticRegression	False	0.931	0.951	0.739
word embeddings ctx 1	W2V_ext_ctx	DecisionTreeClassifier	False	0.912	0.944	0.673
word embeddings ctx 1	W2V_ext_ctx	LGBMClassifier	False	0.97	0.985	0.944
word embeddings ctx 1	W2V_ext_ctx	MLPClassifier	False	0.954	0.962	0.904
word embeddings ctx 3 split	W2V_ext_ctx	LogisticRegression	False	0.913	0.935	0.737
word embeddings ctx 3 split	W2V_ext_ctx	DecisionTreeClassifier	False	0.91	0.94	0.811
word embeddings ctx 3 split	W2V_ext_ctx	LGBMClassifier	False	0.969	0.984	0.911
word embeddings ctx 3 split	W2V_ext_ctx	MLPClassifier	False	0.944	0.956	0.882
word embeddings ctx 2 split	W2V_ext_ctx	LogisticRegression	False	0.911	0.935	0.745
word embeddings ctx 2 split	W2V_ext_ctx	DecisionTreeClassifier	False	0.906	0.939	0.791
word embeddings ctx 2 split	W2V_ext_ctx	LGBMClassifier	False	0.967	0.985	0.938
word embeddings ctx 2 split	W2V_ext_ctx	MLPClassifier	False	0.94	0.941	0.874
word embeddings ctx 1 split	W2V_ext_ctx	LogisticRegression	False	0.91	0.933	0.727
word embeddings ctx 1 split	W2V_ext_ctx	DecisionTreeClassifier	False	0.914	0.922	0.777
word embeddings ctx 1 split	W2V_ext_ctx	LGBMClassifier	False	0.97	0.987	0.938
word embeddings ctx 1 split	W2V_ext_ctx	MLPClassifier	False	0.933	0.938	0.915

